"Year","Sector","EDP debt, millions of euro"
"1975","S1311 Central government",.
"1976","S1311 Central government",.
"1977","S1311 Central government",.
"1978","S1311 Central government",.
"1979","S1311 Central government",.
"1980","S1311 Central government",.
"1981","S1311 Central government",.
"1982","S1311 Central government",.
"1983","S1311 Central government",.
"1984","S1311 Central government",.
"1985","S1311 Central government",.
"1986","S1311 Central government",.
"1987","S1311 Central government",.
"1988","S1311 Central government",.
"1989","S1311 Central government",.
"1990","S1311 Central government",.
"1991","S1311 Central government",.
"1992","S1311 Central government",.
"1993","S1311 Central government",.
"1994","S1311 Central government",.
"1995","S1311 Central government",.
"1996","S1311 Central government",.
"1997","S1311 Central government",.
"1998","S1311 Central government",.
"1999","S1311 Central government",.
"2000","S1311 Central government",68665
"2001","S1311 Central government",66215
"2002","S1311 Central government",63531
"2003","S1311 Central government",67517
"2004","S1311 Central government",67905
"2005","S1311 Central government",64530
"2006","S1311 Central government",63143
"2007","S1311 Central government",60711
"2008","S1311 Central government",60170
"2009","S1311 Central government",70887
"2010","S1311 Central government",83682
"2011","S1311 Central government",92490
"2012","S1311 Central government",100968
"2013","S1311 Central government",106631
"2014","S1311 Central government",113287
"2015","S1311 Central government",120675
"2016","S1311 Central government",123449
"2017","S1311 Central government",124864
"2018","S1311 Central government",124025
"2019","S1311 Central government",126081
"2020","S1311 Central government",144232
"2021","S1311 Central government",148248
"2022","S1311 Central government",160668
"2023","S1311 Central government",175046
"2024*","S1311 Central government",189752
"2025*","S1311 Central government",208661
