year,sector,debt_million_eur,debt_billion_eur,annual_growth_eur,annual_growth_percent
2000,S1311 Central government,68665.0,68.665,,
2001,S1311 Central government,66215.0,66.215,-2450.0,-3.57
2002,S1311 Central government,63531.0,63.531,-2684.0,-4.05
2003,S1311 Central government,67517.0,67.517,3986.0,6.27
2004,S1311 Central government,67905.0,67.905,388.0,0.57
2005,S1311 Central government,64530.0,64.53,-3375.0,-4.97
2006,S1311 Central government,63143.0,63.143,-1387.0,-2.15
2007,S1311 Central government,60711.0,60.711,-2432.0,-3.85
2008,S1311 Central government,60170.0,60.17,-541.0,-0.89
2009,S1311 Central government,70887.0,70.887,10717.0,17.81
2010,S1311 Central government,83682.0,83.682,12795.0,18.05
2011,S1311 Central government,92490.0,92.49,8808.0,10.53
2012,S1311 Central government,100968.0,100.968,8478.0,9.17
2013,S1311 Central government,106631.0,106.631,5663.0,5.61
2014,S1311 Central government,113287.0,113.287,6656.0,6.24
2015,S1311 Central government,120675.0,120.675,7388.0,6.52
2016,S1311 Central government,123449.0,123.449,2774.0,2.3
2017,S1311 Central government,124864.0,124.864,1415.0,1.15
2018,S1311 Central government,124025.0,124.025,-839.0,-0.67
2019,S1311 Central government,126081.0,126.081,2056.0,1.66
2020,S1311 Central government,144232.0,144.232,18151.0,14.4
2021,S1311 Central government,148248.0,148.248,4016.0,2.78
2022,S1311 Central government,160668.0,160.668,12420.0,8.38
2023,S1311 Central government,175046.0,175.046,14378.0,8.95
2024,S1311 Central government,189752.0,189.752,14706.0,8.4
2025,S1311 Central government,208661.0,208.661,18909.0,9.97
